account_id,company_name,industry,company_size,icp_fit_score,trigger_event,days_since_last_touch,existing_customer,any_converted,max_prob,account_ptb_label,gtm_fit_label
ACC-000098,"Phillips, Freeman and Giles",Financial Services,51-200,0.807,none,41,True,1.0,0.77,1,1
ACC-000099,"Sanchez, Cooper and Bass",Real Estate,1-50,0.876,none,55,False,1.0,0.6726,1,1
ACC-000100,"Ryan, Richards and Moore",Financial Services,1-50,0.751,funding_round,42,False,1.0,0.7506,1,1
ACC-000101,"Newman, Hurst and Ramos",Financial Services,201-1000,0.874,none,19,False,1.0,0.8597,1,1
ACC-000102,"Marsh, Bailey and Lee",Insurance,51-200,0.786,compliance_mandate,85,False,1.0,0.8542,1,1
ACC-000103,Greene and Sons,Government,51-200,0.476,none,4,False,1.0,0.5287,0,0
ACC-000104,"Jackson, Brooks and Stewart",Insurance,201-1000,0.658,none,17,True,1.0,0.8263,1,1
ACC-000105,Johnson Inc,Insurance,5000+,0.816,none,14,True,1.0,0.9635,1,1
ACC-000106,Johnson-Juarez,Real Estate,201-1000,0.823,tech_refresh,20,False,1.0,0.5733,1,1
ACC-000107,Vaughn-Melton,Legal,201-1000,0.944,leadership_change,131,False,1.0,0.6901,1,1
ACC-000108,Morgan Ltd,Technology,1-50,0.79,none,25,False,1.0,0.2411,1,1
ACC-000109,Marquez-Garcia,Government,5000+,0.453,none,43,False,0.0,0.2584,0,0
ACC-000110,"Martinez, Cannon and Saunders",Manufacturing,1-50,0.296,leadership_change,31,False,1.0,0.5338,0,0
ACC-000111,"Meyers, Gonzales and Randall",Real Estate,51-200,0.587,none,19,True,0.0,0.6788,0,0
ACC-000112,"Gibson, Smith and Taylor",Healthcare,1001-5000,0.715,compliance_mandate,1,False,0.0,0.1133,0,1
ACC-000113,Jones Group,Technology,1-50,0.426,leadership_change,18,False,1.0,0.6489,0,0
ACC-000114,"Jacobson, Perez and Sanders",Financial Services,201-1000,0.936,none,4,False,1.0,0.8247,1,1
ACC-000115,Robles-Jensen,Government,1001-5000,0.604,none,29,True,0.0,0.4671,0,0
ACC-000116,"Barnes, Lewis and Cross",Retail,1001-5000,0.564,none,42,False,0.0,0.8498,0,0
ACC-000117,"Johnson, Roman and Matthews",Real Estate,1001-5000,0.751,funding_round,9,False,1.0,0.7952,1,1
ACC-000118,"Porter, Sanchez and Ali",Technology,1-50,0.62,none,18,False,1.0,0.7919,1,0
ACC-000119,Ortiz-Lester,Government,5000+,0.621,none,6,False,0.0,,0,0
ACC-000120,Lee and Sons,Healthcare,201-1000,0.442,none,19,False,0.0,0.21,0,0
ACC-000121,Gonzalez-Freeman,Insurance,1-50,0.95,none,6,True,1.0,0.5446,1,1
ACC-000122,Green Group,Legal,201-1000,1.0,none,46,False,1.0,0.4135,1,1
ACC-000123,Chapman-Gonzalez,Technology,51-200,0.509,compliance_mandate,10,False,1.0,0.5363,1,0
ACC-000124,Frederick-Hawkins,Insurance,51-200,0.442,funding_round,35,False,0.0,0.1066,0,0
ACC-000125,Lawrence-Wilson,Insurance,1-50,0.85,none,32,False,1.0,0.9101,1,1
ACC-000126,Gallegos Group,Financial Services,201-1000,0.83,none,39,False,1.0,0.93,1,1
ACC-000127,Morris-Oliver,Manufacturing,201-1000,0.398,none,19,True,1.0,0.6534,0,0
ACC-000128,Hill LLC,Real Estate,5000+,0.838,none,0,False,1.0,0.7616,1,1
ACC-000129,"Huff, Williams and Daugherty",Manufacturing,1-50,0.356,none,1,False,1.0,0.7217,0,0
ACC-000130,Clark-Smith,Legal,51-200,0.871,none,7,True,1.0,0.8483,1,1
ACC-000131,Harper-Thompson,Technology,201-1000,0.441,none,17,False,0.0,0.0839,0,0
ACC-000132,"Orozco, Mccormick and Gonzalez",Healthcare,1-50,0.526,none,14,False,1.0,0.4475,1,0
ACC-000133,Leon LLC,Financial Services,51-200,0.932,leadership_change,18,False,1.0,0.8761,1,1
ACC-000134,"Michael, Nichols and Zavala",Legal,1-50,0.72,leadership_change,21,False,1.0,0.7561,1,1
ACC-000135,"Farrell, Montgomery and Ramirez",Legal,5000+,0.763,none,20,True,0.0,,0,1
ACC-000136,"Lara, Gonzales and Johnson",Manufacturing,1-50,0.483,none,2,True,1.0,0.5015,0,0
ACC-000137,Rush-Todd,Financial Services,1-50,0.58,none,57,False,0.0,0.3063,0,0
ACC-000138,"Farley, Adkins and Brown",Retail,1-50,0.512,funding_round,2,False,1.0,0.3515,1,0
ACC-000139,Brown-Williams,Government,1001-5000,0.601,tech_refresh,62,False,1.0,0.8528,1,0
ACC-000140,"Williams, Lewis and Dodson",Insurance,51-200,0.639,none,74,False,1.0,0.9307,1,0
ACC-000141,Gonzalez Inc,Insurance,1-50,0.826,none,6,True,1.0,0.8136,1,1
ACC-000142,"Perez, Torres and Bauer",Retail,1-50,0.333,leadership_change,74,False,1.0,0.7445,0,0
ACC-000143,"Jones, Thomas and Jackson",Real Estate,51-200,0.831,funding_round,1,True,0.0,0.4899,0,1
ACC-000144,Sullivan-Bell,Retail,1-50,0.407,tech_refresh,0,True,1.0,0.6947,0,0
ACC-000145,Graham Group,Retail,5000+,0.507,none,80,False,0.0,0.4858,0,0
ACC-000146,"Ochoa, French and Fox",Real Estate,201-1000,0.782,none,43,False,1.0,0.6772,1,1
ACC-000147,Lyons-Perez,Technology,201-1000,0.336,none,32,False,1.0,0.4218,0,0
ACC-000148,Arnold PLC,Government,1-50,0.499,funding_round,39,False,1.0,0.8463,0,0
ACC-000149,"Perez, Chen and Brown",Government,201-1000,0.732,leadership_change,42,False,1.0,0.6594,1,1
ACC-000150,Nelson-Jones,Insurance,1-50,0.681,none,61,True,0.0,,0,1
ACC-000151,Burgess Group,Technology,1001-5000,0.502,leadership_change,4,False,1.0,0.8622,1,0
ACC-000152,Smith-Turner,Legal,1-50,0.761,none,55,False,1.0,0.7007,1,1
ACC-000153,Smith-Steele,Healthcare,51-200,0.636,leadership_change,20,False,1.0,0.8432,1,0
ACC-000154,Martinez LLC,Insurance,1-50,0.704,compliance_mandate,21,True,1.0,0.8522,1,1
ACC-000155,"Hogan, Davis and Smith",Manufacturing,1-50,0.67,none,59,False,1.0,0.8004,1,1
ACC-000156,Bryant Group,Government,1001-5000,0.616,none,65,False,1.0,0.9272,1,0
ACC-000157,Walker LLC,Retail,51-200,0.516,tech_refresh,51,True,1.0,0.7766,1,0
ACC-000158,"Williams, Donaldson and Nash",Real Estate,51-200,0.802,none,3,False,1.0,0.8124,1,1
ACC-000159,Barnes-Jimenez,Real Estate,5000+,0.682,none,120,False,0.0,,0,1
ACC-000160,"Brooks, Mueller and Bender",Real Estate,1-50,0.639,none,52,False,1.0,0.2773,1,0
ACC-000161,"Figueroa, Walter and Barrett",Legal,1-50,0.779,tech_refresh,170,False,1.0,0.7045,1,1
ACC-000162,Fisher-Hodges,Government,1-50,0.573,leadership_change,66,False,0.0,0.322,0,0
ACC-000163,Washington-Scott,Financial Services,5000+,0.717,tech_refresh,3,True,1.0,0.7927,1,1
ACC-000164,"Williams, Hood and Solis",Insurance,51-200,0.45,compliance_mandate,40,False,0.0,0.3021,0,0
ACC-000165,Hill and Sons,Legal,1-50,0.905,none,7,False,1.0,0.9163,1,1
ACC-000166,Hardin and Sons,Technology,1-50,0.366,none,41,False,1.0,0.5155,0,0
ACC-000167,"Kelly, Reynolds and Perry",Retail,1-50,0.325,none,62,True,1.0,0.5004,0,0
ACC-000168,"Martinez, Delgado and Murray",Real Estate,1001-5000,0.71,none,2,False,1.0,0.7218,1,1
ACC-000169,Robertson-Carson,Legal,201-1000,1.0,compliance_mandate,23,False,1.0,0.8052,1,1
ACC-000170,Martin Ltd,Retail,1-50,0.362,tech_refresh,76,False,1.0,0.5295,0,0
ACC-000171,Lam-Kelly,Legal,51-200,1.0,none,48,False,1.0,0.2925,1,1
ACC-000172,Reynolds Inc,Real Estate,1-50,0.854,none,59,True,1.0,0.713,1,1
ACC-000173,Hill PLC,Healthcare,51-200,0.512,none,2,True,1.0,0.5637,1,0
ACC-000174,"Bryant, Stephens and Reed",Healthcare,51-200,0.709,none,13,False,1.0,0.7794,1,1
ACC-000175,Reese-White,Insurance,1-50,0.398,compliance_mandate,46,False,1.0,0.513,0,0
ACC-000176,"Young, Guzman and Martinez",Government,5000+,0.461,none,4,False,1.0,0.7363,0,0
ACC-000177,"Reeves, Brown and Anderson",Healthcare,201-1000,0.65,leadership_change,21,False,1.0,0.6707,1,1
ACC-000178,Harris Inc,Technology,201-1000,0.546,tech_refresh,33,True,1.0,0.6512,1,0
ACC-000179,Brown-Barrett,Real Estate,51-200,0.804,none,15,False,1.0,0.7826,1,1
ACC-000180,Long LLC,Healthcare,51-200,0.525,none,14,False,0.0,0.155,0,0
ACC-000181,Jones and Sons,Insurance,51-200,0.806,none,8,False,0.0,0.3621,0,1
ACC-000182,Aguilar and Sons,Insurance,1-50,0.581,compliance_mandate,11,False,1.0,0.7667,1,0
ACC-000183,Perez-Williams,Government,51-200,0.542,none,15,False,1.0,0.6683,1,0
ACC-000184,Smith PLC,Retail,51-200,0.442,leadership_change,47,False,0.0,0.432,0,0
ACC-000185,"Stone, Smith and Johnson",Retail,51-200,0.393,none,9,False,0.0,0.2941,0,0
ACC-000186,Fox Inc,Legal,1-50,0.98,funding_round,68,True,1.0,0.6411,1,1
ACC-000187,Johnson and Sons,Healthcare,51-200,0.823,leadership_change,63,False,1.0,0.7539,1,1
ACC-000188,"Oliver, Norman and Jackson",Insurance,1-50,0.717,none,29,False,1.0,0.693,1,1
ACC-000189,White LLC,Retail,1001-5000,0.449,none,56,False,1.0,0.785,0,0
ACC-000190,Brandt PLC,Manufacturing,1-50,0.449,none,32,False,0.0,0.5891,0,0
ACC-000191,"Mcconnell, Barnes and Benjamin",Manufacturing,201-1000,0.508,none,62,False,0.0,,0,0
ACC-000192,"Howard, Giles and Goodwin",Real Estate,5000+,0.881,none,20,False,1.0,0.6999,1,1
ACC-000193,"Cox, Rivera and Rhodes",Real Estate,201-1000,0.709,none,67,False,1.0,0.5226,1,1
ACC-000194,Bates Ltd,Legal,5000+,0.751,leadership_change,23,False,1.0,0.6812,1,1
ACC-000195,"Cameron, Hester and Bailey",Government,51-200,0.777,funding_round,25,False,1.0,0.7886,1,1
ACC-000196,"King, Wright and Walsh",Technology,51-200,0.724,compliance_mandate,27,True,1.0,0.8437,1,1
ACC-000197,Murray Group,Manufacturing,1-50,0.321,leadership_change,50,True,0.0,,0,0
ACC-000198,"Hess, Hunt and Harrison",Retail,1-50,0.372,tech_refresh,13,True,0.0,0.5555,0,0
ACC-000199,Reed-Jones,Retail,51-200,0.737,tech_refresh,92,True,1.0,0.9173,1,1
ACC-000200,Madden Ltd,Insurance,201-1000,0.757,compliance_mandate,14,True,1.0,0.6888,1,1
ACC-000201,Gonzalez PLC,Healthcare,1001-5000,0.728,none,12,False,1.0,0.5214,1,1
ACC-000202,Dorsey-Chaney,Legal,201-1000,0.821,tech_refresh,56,True,1.0,0.785,1,1
ACC-000203,Cox and Sons,Retail,201-1000,0.517,none,26,False,1.0,0.4833,1,0
ACC-000204,Marshall-Kennedy,Healthcare,201-1000,0.518,leadership_change,39,False,1.0,0.3039,1,0
ACC-000205,Simpson Ltd,Financial Services,51-200,0.951,leadership_change,88,False,1.0,0.747,1,1
ACC-000206,"Thompson, Kelley and Crosby",Healthcare,1-50,0.659,none,3,False,0.0,0.7042,0,1
ACC-000207,Wagner-Wright,Insurance,1-50,0.804,none,10,False,1.0,0.4814,1,1
ACC-000208,"Hall, Williams and Hardin",Financial Services,201-1000,1.0,none,10,False,1.0,0.7221,1,1
ACC-000209,Rosales Ltd,Financial Services,1001-5000,0.818,compliance_mandate,3,False,1.0,0.5928,1,1
ACC-000210,"Morris, Stewart and Juarez",Technology,1-50,0.554,none,43,False,1.0,0.5109,1,0
ACC-000211,Christian Ltd,Retail,51-200,0.16,none,40,True,0.0,0.289,0,0
ACC-000212,Cooper Ltd,Retail,1-50,0.522,compliance_mandate,33,False,1.0,0.5751,1,0
ACC-000213,Johnson PLC,Financial Services,1-50,0.783,none,20,False,1.0,0.9001,1,1
ACC-000214,"Johnston, Jones and Perez",Insurance,1001-5000,0.58,none,85,False,0.0,0.2421,0,0
ACC-000215,"Carr, Roberson and Soto",Insurance,201-1000,0.632,funding_round,216,False,0.0,0.3894,0,0
ACC-000216,Hill-Young,Technology,1-50,0.412,none,5,False,1.0,0.7599,0,0
ACC-000217,Haynes-Butler,Financial Services,201-1000,0.658,funding_round,22,False,1.0,0.9001,1,1
ACC-000218,Mason Inc,Healthcare,51-200,0.753,leadership_change,2,True,1.0,0.8385,1,1
ACC-000219,Ford PLC,Technology,1-50,0.512,funding_round,16,False,1.0,0.4102,1,0
ACC-000220,Brown PLC,Financial Services,51-200,0.819,none,3,False,0.0,0.5775,0,1
ACC-000221,Andrews-Montgomery,Technology,1-50,0.439,none,6,False,1.0,0.6718,0,0
ACC-000222,Johnson PLC,Financial Services,1-50,0.838,compliance_mandate,38,False,1.0,0.806,1,1
ACC-000223,"Jones, Graham and Brown",Real Estate,1-50,1.0,none,18,False,0.0,0.3018,0,1
ACC-000224,Powers-Chaney,Government,5000+,0.282,none,17,False,1.0,0.5525,0,0
ACC-000225,"Johnson, King and Lopez",Government,1-50,0.759,leadership_change,50,False,1.0,0.7121,1,1
ACC-000226,Holloway and Sons,Healthcare,1-50,0.713,none,62,False,1.0,0.4054,1,1
ACC-000227,Guzman and Sons,Insurance,1001-5000,0.684,tech_refresh,10,False,0.0,0.6726,0,1
ACC-000228,Valentine-Garcia,Legal,51-200,0.939,funding_round,3,False,1.0,0.3865,1,1
ACC-000229,Schmidt-Young,Insurance,1-50,0.936,compliance_mandate,41,False,0.0,,0,1
ACC-000230,Mckinney-Garcia,Retail,51-200,0.408,tech_refresh,36,False,0.0,,0,0
ACC-000231,Herring PLC,Real Estate,51-200,0.916,funding_round,31,False,1.0,0.8342,1,1
ACC-000232,Herrera and Sons,Real Estate,51-200,0.893,none,9,True,1.0,0.6436,1,1
ACC-000233,Williams Inc,Technology,201-1000,0.562,none,63,False,1.0,0.5099,1,0
ACC-000234,"Cruz, Williams and Jones",Technology,1001-5000,0.629,funding_round,38,True,1.0,0.7762,1,0
ACC-000235,"Travis, Davis and Howell",Legal,5000+,0.855,tech_refresh,23,True,1.0,0.7857,1,1
ACC-000236,"Hudson, Cunningham and Anderson",Manufacturing,201-1000,0.494,none,40,False,0.0,0.3683,0,0
ACC-000237,"Rose, Lynch and Johnston",Financial Services,51-200,0.946,none,3,False,1.0,0.8408,1,1
ACC-000238,Johnson Group,Government,51-200,0.699,none,21,False,1.0,0.6812,1,1
ACC-000239,"Gibbs, Anderson and Davila",Government,51-200,0.631,tech_refresh,163,False,1.0,0.1558,1,0
ACC-000240,"Mendoza, Thompson and Johnston",Government,51-200,0.606,none,23,False,1.0,0.6913,1,0
ACC-000241,"Taylor, Farrell and Wilson",Healthcare,51-200,0.62,tech_refresh,12,False,1.0,0.6698,1,0
ACC-000242,Potter-Goodwin,Insurance,51-200,0.608,leadership_change,55,False,1.0,0.5455,1,0
ACC-000243,"Reyes, Harvey and Goodman",Real Estate,51-200,1.0,none,8,False,0.0,0.2824,0,1
ACC-000244,Avila-Lynch,Real Estate,1-50,0.733,none,27,True,0.0,0.6934,0,1
ACC-000245,Kirby and Sons,Retail,51-200,0.435,none,16,True,0.0,0.1503,0,0
ACC-000246,"Smith, Young and Jordan",Technology,1-50,0.655,none,24,False,1.0,0.8284,1,1
ACC-000247,Camacho-Beck,Real Estate,1-50,0.879,compliance_mandate,50,False,1.0,0.6981,1,1
ACC-000248,Mitchell and Sons,Healthcare,1-50,0.587,tech_refresh,36,True,1.0,0.7193,1,0
ACC-000249,"Conner, Blake and Jimenez",Real Estate,201-1000,0.91,tech_refresh,4,False,1.0,0.5081,1,1
ACC-000250,"Baker, Robertson and Reynolds",Retail,1-50,0.487,compliance_mandate,9,False,1.0,0.3504,0,0
ACC-000251,"Stevens, King and Watkins",Government,1001-5000,0.551,none,49,True,1.0,0.8114,1,0
ACC-000252,Sellers-Mcmillan,Healthcare,51-200,0.604,none,22,True,1.0,0.8004,1,0
ACC-000253,"Garcia, Baker and Martinez",Insurance,1001-5000,0.865,compliance_mandate,74,True,1.0,0.93,1,1
ACC-000254,"Wood, Douglas and Anderson",Insurance,51-200,0.771,compliance_mandate,34,False,1.0,0.7661,1,1
ACC-000255,Jackson Ltd,Government,51-200,0.562,none,16,False,1.0,0.6248,1,0
ACC-000256,Shepherd Group,Healthcare,1-50,0.69,none,122,False,0.0,0.2613,0,1
ACC-000257,"Johnson, Cruz and Cook",Financial Services,1-50,0.905,none,100,False,1.0,0.6256,1,1
ACC-000258,"Friedman, Whitaker and Price",Real Estate,5000+,0.631,none,0,True,0.0,0.4501,0,0
ACC-000259,Ramos-Johnson,Technology,1-50,0.48,funding_round,27,False,1.0,0.573,0,0
ACC-000260,Graham-Moreno,Manufacturing,1-50,0.4,funding_round,20,False,1.0,0.6111,0,0
ACC-000261,Adkins Ltd,Manufacturing,51-200,0.348,none,25,False,1.0,0.8366,0,0
ACC-000262,"Webb, Gordon and Riddle",Government,201-1000,0.575,none,33,False,1.0,0.5428,1,0
ACC-000263,"Johnston, Harrell and Guerrero",Real Estate,201-1000,0.899,none,21,True,1.0,0.8956,1,1
ACC-000264,Flores-Campbell,Retail,1-50,0.296,none,17,False,1.0,0.7309,0,0
