account_id,company_name,industry,company_size,icp_fit_score,trigger_event,days_since_last_touch,existing_customer,any_converted,max_prob,account_ptb_label
ACC-000044,Brewer-Welch,Insurance,201-1000,0.686,none,7,False,0.0,0.3701,0
ACC-000045,"Edwards, Thomas and Mcpherson",Government,1001-5000,0.424,none,30,False,0.0,0.2719,0
ACC-000046,Morrow Inc,Government,1-50,0.459,funding_round,2,False,1.0,0.703,0
ACC-000047,Russell LLC,Government,51-200,0.571,tech_refresh,9,False,1.0,0.7902,1
ACC-000048,Martinez-Young,Manufacturing,1-50,0.421,none,0,False,1.0,0.235,0
ACC-000049,"Smith, Mccall and Anderson",Healthcare,201-1000,0.669,none,5,False,1.0,0.7196,1
ACC-000050,Sanders-Gonzalez,Government,1-50,0.588,none,9,False,1.0,0.7452,1
ACC-000051,Thomas-Sharp,Government,1-50,0.467,compliance_mandate,1,False,1.0,0.7156,0
ACC-000052,Ward LLC,Retail,1001-5000,0.455,tech_refresh,95,False,0.0,,0
ACC-000053,Moreno-Smith,Financial Services,201-1000,0.815,none,34,False,0.0,0.6606,0
ACC-000054,Little-Luna,Insurance,51-200,0.722,funding_round,27,True,1.0,0.8209,1
ACC-000055,"Randolph, Davis and Preston",Government,51-200,0.639,none,8,False,0.0,,0
ACC-000056,Macdonald Inc,Retail,51-200,0.274,none,34,False,0.0,,0
ACC-000057,Hicks Inc,Legal,51-200,1.0,none,86,False,0.0,,0
ACC-000058,"Park, Butler and Chapman",Healthcare,51-200,0.658,none,39,False,1.0,0.3448,1
ACC-000059,Li-Campbell,Government,201-1000,0.577,funding_round,2,False,1.0,0.6038,1
ACC-000060,Williams and Sons,Manufacturing,5000+,0.442,tech_refresh,17,False,1.0,0.5663,0
ACC-000061,Howard-Sampson,Financial Services,201-1000,0.766,tech_refresh,22,False,0.0,0.4664,0
ACC-000062,Silva-Kelly,Financial Services,201-1000,0.772,funding_round,17,False,1.0,0.7145,1
ACC-000063,"Morgan, Andrade and Buck",Financial Services,51-200,0.859,leadership_change,28,False,0.0,0.3676,0
ACC-000064,"Ponce, Davis and Nelson",Healthcare,1-50,0.46,none,59,False,1.0,0.5556,0
ACC-000065,Morse-Friedman,Insurance,201-1000,0.848,none,28,False,1.0,0.6996,1
ACC-000066,Cummings LLC,Manufacturing,51-200,0.432,none,5,False,1.0,0.7177,0
ACC-000067,Thornton-Flores,Legal,51-200,0.885,leadership_change,40,False,1.0,0.421,1
ACC-000068,Fields Ltd,Real Estate,51-200,0.801,tech_refresh,22,False,0.0,0.4205,0
ACC-000069,Hardy-Gates,Government,1-50,0.879,funding_round,5,False,0.0,0.7655,0
ACC-000070,Brooks-Bentley,Financial Services,1-50,1.0,compliance_mandate,68,False,0.0,0.2994,0
ACC-000071,"Bailey, Levy and White",Retail,51-200,0.453,tech_refresh,24,True,0.0,,0
ACC-000072,"Schneider, Reyes and Jordan",Real Estate,1001-5000,0.743,compliance_mandate,0,False,0.0,0.3171,0
ACC-000073,"Jones, Evans and Lowe",Insurance,201-1000,0.767,none,28,True,1.0,0.8366,1
ACC-000074,"Sellers, Morton and Archer",Legal,1-50,0.924,none,116,False,1.0,0.9256,1
ACC-000075,Gonzalez-Lewis,Legal,1-50,0.886,none,29,False,0.0,0.2026,0
ACC-000076,Harding-Atkins,Insurance,1001-5000,0.669,compliance_mandate,59,False,1.0,0.86,1
ACC-000077,"Phillips, Mcguire and Dominguez",Legal,201-1000,1.0,none,24,True,1.0,0.9539,1
ACC-000078,"Green, Wong and Cantrell",Retail,201-1000,0.411,compliance_mandate,7,False,1.0,0.6748,0
ACC-000079,Perez-Young,Technology,1-50,0.507,leadership_change,35,False,1.0,0.8038,1
ACC-000080,"Adams, Wallace and Thomas",Technology,201-1000,0.607,compliance_mandate,19,True,1.0,0.8492,1
ACC-000081,Ray-Reed,Financial Services,1-50,0.786,tech_refresh,53,False,0.0,0.2703,0
ACC-000082,Roach-Nguyen,Legal,51-200,0.943,tech_refresh,12,False,1.0,0.6508,1
ACC-000083,Rodriguez-Mccarthy,Manufacturing,201-1000,0.41,tech_refresh,2,False,1.0,0.5901,0
ACC-000084,Dixon Ltd,Retail,51-200,0.649,none,0,False,0.0,0.1036,0
ACC-000085,"Duncan, Quinn and Miller",Real Estate,51-200,0.84,funding_round,35,False,1.0,0.7577,1
ACC-000086,"Jordan, Richards and Collins",Government,51-200,0.466,none,8,False,1.0,0.4238,0
ACC-000087,"Walker, Patterson and Orr",Healthcare,1-50,0.535,funding_round,45,False,1.0,0.4229,1
ACC-000088,Barajas-Green,Manufacturing,51-200,0.409,none,21,False,0.0,0.692,0
ACC-000089,"Boyle, Erickson and Cruz",Manufacturing,51-200,0.477,leadership_change,5,False,0.0,0.3008,0
ACC-000090,"Cooper, Roberson and Owens",Government,51-200,0.506,none,35,False,1.0,0.5836,1
ACC-000091,"Black, Sawyer and Carlson",Technology,1-50,0.63,compliance_mandate,2,False,1.0,0.6159,1
ACC-000092,"Hughes, Rivera and Wagner",Manufacturing,1-50,0.562,leadership_change,0,False,1.0,0.788,1
ACC-000093,Garrett-Liu,Real Estate,1001-5000,0.964,none,68,True,0.0,0.5957,0
ACC-000094,Harper and Sons,Technology,5000+,0.84,leadership_change,12,False,1.0,0.7793,1
ACC-000095,"Mcclure, Johnson and Lopez",Real Estate,201-1000,0.764,funding_round,0,False,1.0,0.8828,1
ACC-000096,Ramos-Liu,Retail,1-50,0.317,compliance_mandate,17,False,0.0,0.2017,0
ACC-000097,Gaines-Adams,Technology,1-50,0.718,none,8,False,1.0,0.678,1
ACC-000098,"Romero, Adams and Moore",Financial Services,51-200,0.807,none,41,True,1.0,0.77,1
ACC-000099,Hanson-Perez,Real Estate,1-50,0.876,none,55,False,1.0,0.6726,1
ACC-000100,Gonzales-Warren,Financial Services,1-50,0.751,funding_round,42,False,1.0,0.7506,1
ACC-000101,Rivera-Gill,Financial Services,201-1000,0.874,none,19,False,1.0,0.8597,1
ACC-000102,"Baxter, Walker and Chavez",Insurance,51-200,0.786,compliance_mandate,85,False,1.0,0.8542,1
ACC-000103,Collins-Thompson,Government,51-200,0.476,none,4,False,1.0,0.5287,0
ACC-000104,Martinez Ltd,Insurance,201-1000,0.658,none,17,True,1.0,0.8263,1
ACC-000105,"Carrillo, Holmes and Huber",Insurance,5000+,0.816,none,14,True,1.0,0.9635,1
ACC-000106,"Torres, Maynard and Watkins",Real Estate,201-1000,0.823,tech_refresh,20,False,1.0,0.5733,1
ACC-000107,Tucker-Moore,Legal,201-1000,0.944,leadership_change,131,False,1.0,0.6901,1
ACC-000108,Alexander LLC,Technology,1-50,0.79,none,25,False,1.0,0.2411,1
ACC-000109,Cox Ltd,Government,5000+,0.453,none,43,False,0.0,0.2584,0
ACC-000110,Wong PLC,Manufacturing,1-50,0.296,leadership_change,31,False,1.0,0.5338,0
ACC-000111,Madden Group,Real Estate,51-200,0.587,none,19,True,0.0,0.6788,0
ACC-000112,Neal Group,Healthcare,1001-5000,0.715,compliance_mandate,1,False,0.0,0.1133,0
ACC-000113,"Cherry, Turner and Smith",Technology,1-50,0.426,leadership_change,18,False,1.0,0.6489,0
ACC-000114,"Mendoza, Burch and Thompson",Financial Services,201-1000,0.936,none,4,False,1.0,0.8247,1
ACC-000115,Pena Ltd,Government,1001-5000,0.604,none,29,True,0.0,0.4671,0
ACC-000116,Frank-Pittman,Retail,1001-5000,0.564,none,42,False,0.0,0.8498,0
ACC-000117,"Thompson, Thompson and English",Real Estate,1001-5000,0.751,funding_round,9,False,1.0,0.7952,1
ACC-000118,Rodriguez-Miller,Technology,1-50,0.62,none,18,False,1.0,0.7919,1
ACC-000119,"Gibbs, Gomez and Holloway",Government,5000+,0.621,none,6,False,0.0,,0
ACC-000120,"Garza, Wang and Holloway",Healthcare,201-1000,0.442,none,19,False,0.0,0.21,0
ACC-000121,"Bullock, Martinez and Simmons",Insurance,1-50,0.95,none,6,True,1.0,0.5446,1
ACC-000122,"Miller, Obrien and Shaw",Legal,201-1000,1.0,none,46,False,1.0,0.4135,1
ACC-000123,Tyler Inc,Technology,51-200,0.509,compliance_mandate,10,False,1.0,0.5363,1
ACC-000124,"Smith, Compton and Miller",Insurance,51-200,0.442,funding_round,35,False,0.0,0.1066,0
ACC-000125,Clark Inc,Insurance,1-50,0.85,none,32,False,1.0,0.9101,1
ACC-000126,"Hall, King and Greene",Financial Services,201-1000,0.83,none,39,False,1.0,0.93,1
ACC-000127,"Lewis, Lawson and Sanchez",Manufacturing,201-1000,0.398,none,19,True,1.0,0.6534,0
ACC-000128,Glenn Ltd,Real Estate,5000+,0.838,none,0,False,1.0,0.7616,1
ACC-000129,Smith-Doyle,Manufacturing,1-50,0.356,none,1,False,1.0,0.7217,0
ACC-000130,Phillips Inc,Legal,51-200,0.871,none,7,True,1.0,0.8483,1
ACC-000131,"Wilcox, Martinez and Brown",Technology,201-1000,0.441,none,17,False,0.0,0.0839,0
ACC-000132,Mcintyre-Jimenez,Healthcare,1-50,0.526,none,14,False,1.0,0.4475,1
ACC-000133,Craig LLC,Financial Services,51-200,0.932,leadership_change,18,False,1.0,0.8761,1
ACC-000134,Schultz and Sons,Legal,1-50,0.72,leadership_change,21,False,1.0,0.7561,1
ACC-000135,Rollins-Bright,Legal,5000+,0.763,none,20,True,0.0,,0
ACC-000136,Williams and Sons,Manufacturing,1-50,0.483,none,2,True,1.0,0.5015,0
ACC-000137,"Smith, Tate and Harris",Financial Services,1-50,0.58,none,57,False,0.0,0.3063,0
ACC-000138,Parker-Jackson,Retail,1-50,0.512,funding_round,2,False,1.0,0.3515,1
ACC-000139,Waters-Smith,Government,1001-5000,0.601,tech_refresh,62,False,1.0,0.8528,1
ACC-000140,Wood and Sons,Insurance,51-200,0.639,none,74,False,1.0,0.9307,1
ACC-000141,"Stewart, Brown and Gonzales",Insurance,1-50,0.826,none,6,True,1.0,0.8136,1
ACC-000142,Kaiser Group,Retail,1-50,0.333,leadership_change,74,False,1.0,0.7445,0
ACC-000143,Kent LLC,Real Estate,51-200,0.831,funding_round,1,True,0.0,0.4899,0
ACC-000144,Holmes-Roman,Retail,1-50,0.407,tech_refresh,0,True,1.0,0.6947,0
ACC-000145,"Winters, Kelley and Santiago",Retail,5000+,0.507,none,80,False,0.0,0.4858,0
ACC-000146,Chavez LLC,Real Estate,201-1000,0.782,none,43,False,1.0,0.6772,1
ACC-000147,"Martinez, Mitchell and Combs",Technology,201-1000,0.336,none,32,False,1.0,0.4218,0
ACC-000148,Mcclain LLC,Government,1-50,0.499,funding_round,39,False,1.0,0.8463,0
ACC-000149,White-Smith,Government,201-1000,0.732,leadership_change,42,False,1.0,0.6594,1
ACC-000150,Gibbs LLC,Insurance,1-50,0.681,none,61,True,0.0,,0
ACC-000151,Decker Group,Technology,1001-5000,0.502,leadership_change,4,False,1.0,0.8622,1
ACC-000152,"Lopez, Stafford and Esparza",Legal,1-50,0.761,none,55,False,1.0,0.7007,1
ACC-000153,Harding Ltd,Healthcare,51-200,0.636,leadership_change,20,False,1.0,0.8432,1
ACC-000154,"Cole, Koch and Nguyen",Insurance,1-50,0.704,compliance_mandate,21,True,1.0,0.8522,1
ACC-000155,Soto-Wise,Manufacturing,1-50,0.67,none,59,False,1.0,0.8004,1
ACC-000156,Freeman PLC,Government,1001-5000,0.616,none,65,False,1.0,0.9272,1
ACC-000157,Thompson-Le,Retail,51-200,0.516,tech_refresh,51,True,1.0,0.7766,1
ACC-000158,"Caldwell, Hernandez and Mcguire",Real Estate,51-200,0.802,none,3,False,1.0,0.8124,1
ACC-000159,Avila PLC,Real Estate,5000+,0.682,none,120,False,0.0,,0
ACC-000160,Wheeler-Kline,Real Estate,1-50,0.639,none,52,False,1.0,0.2773,1
ACC-000161,Rivera-Reyes,Legal,1-50,0.779,tech_refresh,170,False,1.0,0.7045,1
ACC-000162,Lopez Group,Government,1-50,0.573,leadership_change,66,False,0.0,0.322,0
ACC-000163,"Nunez, Baker and Allen",Financial Services,5000+,0.717,tech_refresh,3,True,1.0,0.7927,1
ACC-000164,"Pham, Duncan and Gordon",Insurance,51-200,0.45,compliance_mandate,40,False,0.0,0.3021,0
ACC-000165,"Gill, Harris and Beard",Legal,1-50,0.905,none,7,False,1.0,0.9163,1
ACC-000166,"Gay, Watson and Collins",Technology,1-50,0.366,none,41,False,1.0,0.5155,0
ACC-000167,Garcia-Morgan,Retail,1-50,0.325,none,62,True,1.0,0.5004,0
ACC-000168,"Thompson, Davies and Charles",Real Estate,1001-5000,0.71,none,2,False,1.0,0.7218,1
ACC-000169,"Martin, Jones and Thomas",Legal,201-1000,1.0,compliance_mandate,23,False,1.0,0.8052,1
ACC-000170,Hood and Sons,Retail,1-50,0.362,tech_refresh,76,False,1.0,0.5295,0
ACC-000171,Hernandez PLC,Legal,51-200,1.0,none,48,False,1.0,0.2925,1
ACC-000172,Brown and Sons,Real Estate,1-50,0.854,none,59,True,1.0,0.713,1
ACC-000173,Werner-Powell,Healthcare,51-200,0.512,none,2,True,1.0,0.5637,1
ACC-000174,"Johnson, Green and Lara",Healthcare,51-200,0.709,none,13,False,1.0,0.7794,1
ACC-000175,Ruiz Ltd,Insurance,1-50,0.398,compliance_mandate,46,False,1.0,0.513,0
ACC-000176,"Washington, Farrell and Kim",Government,5000+,0.461,none,4,False,1.0,0.7363,0
ACC-000177,Barker Inc,Healthcare,201-1000,0.65,leadership_change,21,False,1.0,0.6707,1
ACC-000178,"Bradshaw, Gonzalez and Christensen",Technology,201-1000,0.546,tech_refresh,33,True,1.0,0.6512,1
ACC-000179,Chung and Sons,Real Estate,51-200,0.804,none,15,False,1.0,0.7826,1
ACC-000180,"Ingram, Lee and Jacobson",Healthcare,51-200,0.525,none,14,False,0.0,0.155,0
ACC-000181,Johnson Inc,Insurance,51-200,0.806,none,8,False,0.0,0.3621,0
ACC-000182,Wilkerson LLC,Insurance,1-50,0.581,compliance_mandate,11,False,1.0,0.7667,1
ACC-000183,Medina PLC,Government,51-200,0.542,none,15,False,1.0,0.6683,1
ACC-000184,Smith-Deleon,Retail,51-200,0.442,leadership_change,47,False,0.0,0.432,0
ACC-000185,Hall-Lester,Retail,51-200,0.393,none,9,False,0.0,0.2941,0
ACC-000186,"Noble, Vasquez and Clark",Legal,1-50,0.98,funding_round,68,True,1.0,0.6411,1
ACC-000187,Tucker-Lane,Healthcare,51-200,0.823,leadership_change,63,False,1.0,0.7539,1
ACC-000188,Brown PLC,Insurance,1-50,0.717,none,29,False,1.0,0.693,1
ACC-000189,Carter-Vargas,Retail,1001-5000,0.449,none,56,False,1.0,0.785,0
ACC-000190,"Campos, Thornton and Ruiz",Manufacturing,1-50,0.449,none,32,False,0.0,0.5891,0
ACC-000191,"Ingram, Taylor and Mccullough",Manufacturing,201-1000,0.508,none,62,False,0.0,,0
ACC-000192,Cooper and Sons,Real Estate,5000+,0.881,none,20,False,1.0,0.6999,1
ACC-000193,"Sims, Pena and Meyer",Real Estate,201-1000,0.709,none,67,False,1.0,0.5226,1
ACC-000194,"Walton, Gonzalez and Williams",Legal,5000+,0.751,leadership_change,23,False,1.0,0.6812,1
ACC-000195,Herrera-Hall,Government,51-200,0.777,funding_round,25,False,1.0,0.7886,1
ACC-000196,"Winters, Jennings and Vaughn",Technology,51-200,0.724,compliance_mandate,27,True,1.0,0.8437,1
ACC-000197,Bailey Inc,Manufacturing,1-50,0.321,leadership_change,50,True,0.0,,0
ACC-000198,"Diaz, Miles and Kennedy",Retail,1-50,0.372,tech_refresh,13,True,0.0,0.5555,0
ACC-000199,Porter-Ferguson,Retail,51-200,0.737,tech_refresh,92,True,1.0,0.9173,1
ACC-000200,Berry Inc,Insurance,201-1000,0.757,compliance_mandate,14,True,1.0,0.6888,1
ACC-000201,Moore-Mcdowell,Healthcare,1001-5000,0.728,none,12,False,1.0,0.5214,1
ACC-000202,"Walsh, Ballard and Bautista",Legal,201-1000,0.821,tech_refresh,56,True,1.0,0.785,1
ACC-000203,Burch Ltd,Retail,201-1000,0.517,none,26,False,1.0,0.4833,1
ACC-000204,Ramos-Dean,Healthcare,201-1000,0.518,leadership_change,39,False,1.0,0.3039,1
ACC-000205,Howe LLC,Financial Services,51-200,0.951,leadership_change,88,False,1.0,0.747,1
ACC-000206,Vargas Ltd,Healthcare,1-50,0.659,none,3,False,0.0,0.7042,0
ACC-000207,Daniels-Rodriguez,Insurance,1-50,0.804,none,10,False,1.0,0.4814,1
ACC-000208,Turner-Newman,Financial Services,201-1000,1.0,none,10,False,1.0,0.7221,1
ACC-000209,"Reid, Murphy and Noble",Financial Services,1001-5000,0.818,compliance_mandate,3,False,1.0,0.5928,1
ACC-000210,Stuart-Rodriguez,Technology,1-50,0.554,none,43,False,1.0,0.5109,1
ACC-000211,Cruz PLC,Retail,51-200,0.16,none,40,True,0.0,0.289,0
ACC-000212,Lee LLC,Retail,1-50,0.522,compliance_mandate,33,False,1.0,0.5751,1
ACC-000213,Carter Inc,Financial Services,1-50,0.783,none,20,False,1.0,0.9001,1
ACC-000214,Molina-Hurst,Insurance,1001-5000,0.58,none,85,False,0.0,0.2421,0
ACC-000215,Clayton-Alexander,Insurance,201-1000,0.632,funding_round,216,False,0.0,0.3894,0
ACC-000216,Gutierrez-Davis,Technology,1-50,0.412,none,5,False,1.0,0.7599,0
ACC-000217,Graham-Todd,Financial Services,201-1000,0.658,funding_round,22,False,1.0,0.9001,1
ACC-000218,"Mcgee, Morales and Harrington",Healthcare,51-200,0.753,leadership_change,2,True,1.0,0.8385,1
ACC-000219,Burns PLC,Technology,1-50,0.512,funding_round,16,False,1.0,0.4102,1
ACC-000220,Stokes Inc,Financial Services,51-200,0.819,none,3,False,0.0,0.5775,0
ACC-000221,Parker Group,Technology,1-50,0.439,none,6,False,1.0,0.6718,0
ACC-000222,"Jackson, Johnson and Keith",Financial Services,1-50,0.838,compliance_mandate,38,False,1.0,0.806,1
ACC-000223,West and Sons,Real Estate,1-50,1.0,none,18,False,0.0,0.3018,0
ACC-000224,"White, Brown and Harris",Government,5000+,0.282,none,17,False,1.0,0.5525,0
ACC-000225,Lopez Inc,Government,1-50,0.759,leadership_change,50,False,1.0,0.7121,1
ACC-000226,Parker LLC,Healthcare,1-50,0.713,none,62,False,1.0,0.4054,1
ACC-000227,Blair PLC,Insurance,1001-5000,0.684,tech_refresh,10,False,0.0,0.6726,0
ACC-000228,"Wright, Chapman and Collins",Legal,51-200,0.939,funding_round,3,False,1.0,0.3865,1
ACC-000229,"Reynolds, Bell and Hunter",Insurance,1-50,0.936,compliance_mandate,41,False,0.0,,0
ACC-000230,Cooper-Henry,Retail,51-200,0.408,tech_refresh,36,False,0.0,,0
ACC-000231,Stevens-Yates,Real Estate,51-200,0.916,funding_round,31,False,1.0,0.8342,1
ACC-000232,Mitchell Group,Real Estate,51-200,0.893,none,9,True,1.0,0.6436,1
ACC-000233,Tucker-Paul,Technology,201-1000,0.562,none,63,False,1.0,0.5099,1
ACC-000234,Schroeder-Brown,Technology,1001-5000,0.629,funding_round,38,True,1.0,0.7762,1
ACC-000235,Espinoza Inc,Legal,5000+,0.855,tech_refresh,23,True,1.0,0.7857,1
ACC-000236,"Hernandez, Bartlett and King",Manufacturing,201-1000,0.494,none,40,False,0.0,0.3683,0
ACC-000237,"Roberts, Dawson and Huynh",Financial Services,51-200,0.946,none,3,False,1.0,0.8408,1
ACC-000238,Sullivan-Maxwell,Government,51-200,0.699,none,21,False,1.0,0.6812,1
ACC-000239,"Hill, Jones and Bailey",Government,51-200,0.631,tech_refresh,163,False,1.0,0.1558,1
ACC-000240,Mack Ltd,Government,51-200,0.606,none,23,False,1.0,0.6913,1
ACC-000241,Myers-Mason,Healthcare,51-200,0.62,tech_refresh,12,False,1.0,0.6698,1
ACC-000242,"Hall, Williams and Short",Insurance,51-200,0.608,leadership_change,55,False,1.0,0.5455,1
ACC-000243,"Sanchez, Thomas and Harris",Real Estate,51-200,1.0,none,8,False,0.0,0.2824,0
ACC-000244,Shaw PLC,Real Estate,1-50,0.733,none,27,True,0.0,0.6934,0
ACC-000245,Johnson-James,Retail,51-200,0.435,none,16,True,0.0,0.1503,0
ACC-000246,"May, Brooks and Henson",Technology,1-50,0.655,none,24,False,1.0,0.8284,1
ACC-000247,"Gallagher, Smith and Shepherd",Real Estate,1-50,0.879,compliance_mandate,50,False,1.0,0.6981,1
ACC-000248,Madden Inc,Healthcare,1-50,0.587,tech_refresh,36,True,1.0,0.7193,1
ACC-000249,Pacheco-Brooks,Real Estate,201-1000,0.91,tech_refresh,4,False,1.0,0.5081,1
ACC-000250,Casey Ltd,Retail,1-50,0.487,compliance_mandate,9,False,1.0,0.3504,0
ACC-000251,Rodriguez-Martinez,Government,1001-5000,0.551,none,49,True,1.0,0.8114,1
ACC-000252,Mills-Ball,Healthcare,51-200,0.604,none,22,True,1.0,0.8004,1
ACC-000253,Jones-Howard,Insurance,1001-5000,0.865,compliance_mandate,74,True,1.0,0.93,1
ACC-000254,"Andersen, Bradford and Ramirez",Insurance,51-200,0.771,compliance_mandate,34,False,1.0,0.7661,1
ACC-000255,"Ford, Todd and Anderson",Government,51-200,0.562,none,16,False,1.0,0.6248,1
ACC-000256,Miller Inc,Healthcare,1-50,0.69,none,122,False,0.0,0.2613,0
ACC-000257,"Hughes, Fletcher and Rodriguez",Financial Services,1-50,0.905,none,100,False,1.0,0.6256,1
ACC-000258,Griffin Group,Real Estate,5000+,0.631,none,0,True,0.0,0.4501,0
ACC-000259,Taylor-Turner,Technology,1-50,0.48,funding_round,27,False,1.0,0.573,0
ACC-000260,"Dunlap, Alexander and Martin",Manufacturing,1-50,0.4,funding_round,20,False,1.0,0.6111,0
ACC-000261,"Garcia, Cline and Obrien",Manufacturing,51-200,0.348,none,25,False,1.0,0.8366,0
ACC-000262,Jackson-Owens,Government,201-1000,0.575,none,33,False,1.0,0.5428,1
ACC-000263,"Castaneda, Mayer and Turner",Real Estate,201-1000,0.899,none,21,True,1.0,0.8956,1
ACC-000264,Barker LLC,Retail,1-50,0.296,none,17,False,1.0,0.7309,0
ACC-000265,Gonzalez-Conway,Insurance,51-200,0.395,none,26,False,0.0,0.2912,0
ACC-000266,Young-Alvarez,Insurance,51-200,0.923,funding_round,1,False,1.0,0.6723,1
ACC-000267,"Gates, Price and Bruce",Financial Services,51-200,0.813,none,3,False,1.0,0.471,1
ACC-000268,"Smith, Burke and Hudson",Retail,201-1000,0.576,funding_round,53,False,0.0,,0
ACC-000269,Lawson-Smith,Manufacturing,51-200,0.493,leadership_change,39,False,1.0,0.4729,0
ACC-000270,Gray LLC,Manufacturing,1001-5000,0.455,leadership_change,71,False,1.0,0.6383,0
ACC-000271,West-Weiss,Real Estate,201-1000,0.813,none,25,False,1.0,0.7697,1
ACC-000272,Harris Inc,Legal,1-50,1.0,tech_refresh,6,True,1.0,0.4989,1
ACC-000273,Johnson-Smith,Insurance,1-50,0.818,compliance_mandate,61,False,0.0,,0
ACC-000274,Walker and Sons,Government,51-200,0.435,none,1,False,0.0,0.2184,0
ACC-000275,Davis-Wells,Healthcare,1-50,0.575,leadership_change,7,False,1.0,0.8956,1
ACC-000276,Wall-Mccoy,Legal,201-1000,0.985,none,95,False,1.0,0.7575,1
ACC-000277,Miles-Eaton,Government,51-200,0.64,none,6,False,1.0,0.6338,1
