event_id,contact_id,event_type,intent_label,days_ago
EVT-00000127,CON-0000036,email_reply,hot,6
EVT-00000128,CON-0000036,email_open,cold,1
EVT-00000129,CON-0000036,email_reply,hot,3
EVT-00000130,CON-0000036,email_reply,warm,33
EVT-00000131,CON-0000036,email_reply,hot,90
EVT-00000132,CON-0000036,content_download,neutral,2
EVT-00000133,CON-0000037,email_open,neutral,61
EVT-00000134,CON-0000038,meeting,neutral,26
EVT-00000135,CON-0000038,content_download,cold,32
EVT-00000136,CON-0000039,email_reply,warm,6
EVT-00000137,CON-0000039,email_reply,cold,35
EVT-00000138,CON-0000039,content_download,cold,5
EVT-00000139,CON-0000039,content_download,hot,5
EVT-00000140,CON-0000039,content_download,hot,5
EVT-00000141,CON-0000040,email_open,neutral,26
EVT-00000142,CON-0000040,meeting,neutral,4
EVT-00000143,CON-0000040,meeting,warm,11
EVT-00000144,CON-0000041,meeting,hot,42
EVT-00000145,CON-0000041,email_reply,hot,21
EVT-00000146,CON-0000041,email_open,cold,4
EVT-00000147,CON-0000041,email_reply,cold,12
EVT-00000148,CON-0000041,content_download,neutral,53
EVT-00000149,CON-0000041,content_download,cold,29
EVT-00000150,CON-0000042,content_download,warm,5
EVT-00000151,CON-0000042,content_download,hot,6
EVT-00000152,CON-0000042,email_reply,hot,44
EVT-00000153,CON-0000042,meeting,neutral,26
EVT-00000154,CON-0000042,email_reply,cold,27
EVT-00000155,CON-0000043,meeting,cold,7
EVT-00000156,CON-0000043,email_open,cold,6
EVT-00000157,CON-0000043,content_download,warm,34
EVT-00000158,CON-0000044,email_open,hot,22
EVT-00000159,CON-0000044,content_download,neutral,20
EVT-00000160,CON-0000044,email_open,warm,1
EVT-00000161,CON-0000045,content_download,warm,18
EVT-00000162,CON-0000045,email_reply,hot,6
EVT-00000163,CON-0000045,meeting,cold,32
EVT-00000164,CON-0000045,meeting,cold,66
EVT-00000165,CON-0000045,email_open,cold,28
EVT-00000166,CON-0000045,meeting,warm,1
EVT-00000167,CON-0000045,email_open,cold,10
EVT-00000168,CON-0000046,email_reply,cold,6
EVT-00000169,CON-0000046,meeting,warm,94
EVT-00000170,CON-0000046,email_reply,hot,35
EVT-00000171,CON-0000046,meeting,hot,13
EVT-00000172,CON-0000046,meeting,neutral,6
EVT-00000173,CON-0000047,content_download,hot,3
EVT-00000174,CON-0000047,meeting,warm,5
EVT-00000175,CON-0000047,email_open,cold,7
EVT-00000176,CON-0000047,content_download,hot,47
EVT-00000177,CON-0000047,email_open,neutral,41
EVT-00000178,CON-0000048,meeting,hot,32
EVT-00000179,CON-0000048,meeting,neutral,8
EVT-00000180,CON-0000048,content_download,warm,31
EVT-00000181,CON-0000049,content_download,warm,23
EVT-00000182,CON-0000049,meeting,neutral,22
EVT-00000183,CON-0000050,email_open,hot,24
EVT-00000184,CON-0000050,email_open,hot,3
EVT-00000185,CON-0000050,meeting,hot,14
EVT-00000186,CON-0000050,content_download,hot,15
EVT-00000187,CON-0000050,content_download,warm,3
EVT-00000188,CON-0000051,content_download,neutral,21
EVT-00000189,CON-0000051,email_reply,warm,29
EVT-00000190,CON-0000051,content_download,hot,9
EVT-00000191,CON-0000051,content_download,hot,0
EVT-00000192,CON-0000051,content_download,hot,17
EVT-00000193,CON-0000051,content_download,neutral,10
EVT-00000194,CON-0000051,email_open,warm,9
EVT-00000195,CON-0000052,email_reply,hot,1
EVT-00000196,CON-0000052,email_open,hot,0
EVT-00000197,CON-0000052,email_open,hot,24
EVT-00000198,CON-0000053,email_reply,warm,10
EVT-00000199,CON-0000053,email_reply,cold,15
EVT-00000200,CON-0000053,content_download,cold,49
EVT-00000201,CON-0000053,email_reply,hot,11
EVT-00000202,CON-0000054,content_download,neutral,11
EVT-00000203,CON-0000054,email_open,neutral,7
EVT-00000204,CON-0000054,content_download,warm,26
EVT-00000205,CON-0000055,email_open,hot,21
EVT-00000206,CON-0000055,email_reply,neutral,5
EVT-00000207,CON-0000055,email_open,hot,10
EVT-00000208,CON-0000055,email_open,hot,3
EVT-00000209,CON-0000056,email_reply,warm,2
EVT-00000210,CON-0000057,meeting,neutral,16
EVT-00000211,CON-0000057,email_open,neutral,12
EVT-00000212,CON-0000057,email_open,hot,3
EVT-00000213,CON-0000057,email_open,neutral,6
EVT-00000214,CON-0000058,meeting,cold,11
EVT-00000215,CON-0000058,email_open,hot,41
EVT-00000216,CON-0000059,email_open,neutral,25
EVT-00000217,CON-0000059,meeting,neutral,5
EVT-00000218,CON-0000060,meeting,hot,30
EVT-00000219,CON-0000060,email_open,neutral,0
EVT-00000220,CON-0000060,email_open,hot,17
EVT-00000221,CON-0000061,meeting,neutral,16
EVT-00000222,CON-0000061,meeting,hot,48
EVT-00000223,CON-0000062,email_open,cold,13
EVT-00000224,CON-0000062,email_reply,hot,5
EVT-00000225,CON-0000063,meeting,cold,13
EVT-00000226,CON-0000063,content_download,hot,5
EVT-00000227,CON-0000063,email_open,warm,15
EVT-00000228,CON-0000063,content_download,hot,55
EVT-00000229,CON-0000063,meeting,hot,0
EVT-00000230,CON-0000064,email_open,cold,2
EVT-00000231,CON-0000064,content_download,neutral,35
EVT-00000232,CON-0000065,meeting,neutral,34
EVT-00000233,CON-0000065,meeting,warm,23
EVT-00000234,CON-0000066,meeting,hot,7
EVT-00000235,CON-0000066,email_open,warm,7
EVT-00000236,CON-0000066,content_download,cold,2
EVT-00000237,CON-0000066,meeting,hot,2
EVT-00000238,CON-0000066,content_download,cold,16
EVT-00000239,CON-0000066,email_open,hot,29
EVT-00000240,CON-0000067,email_reply,neutral,29
EVT-00000241,CON-0000067,email_reply,hot,23
EVT-00000242,CON-0000067,meeting,warm,4
EVT-00000243,CON-0000068,content_download,neutral,38
EVT-00000244,CON-0000068,email_reply,cold,20
EVT-00000245,CON-0000068,meeting,cold,16
EVT-00000246,CON-0000068,email_reply,warm,17
EVT-00000247,CON-0000068,content_download,neutral,10
EVT-00000248,CON-0000068,email_open,warm,13
EVT-00000249,CON-0000069,meeting,warm,5
EVT-00000250,CON-0000069,content_download,neutral,5
EVT-00000251,CON-0000069,email_reply,hot,34
EVT-00000252,CON-0000070,meeting,neutral,76
EVT-00000253,CON-0000070,email_reply,hot,8
EVT-00000254,CON-0000070,email_open,neutral,40
EVT-00000255,CON-0000071,content_download,warm,31
EVT-00000256,CON-0000071,email_reply,neutral,44
EVT-00000257,CON-0000071,email_reply,hot,29
EVT-00000258,CON-0000071,email_open,hot,27
EVT-00000259,CON-0000071,email_reply,warm,2
EVT-00000260,CON-0000071,meeting,warm,26
EVT-00000261,CON-0000071,meeting,warm,7
EVT-00000262,CON-0000072,email_open,neutral,24
EVT-00000263,CON-0000072,content_download,neutral,11
EVT-00000264,CON-0000072,meeting,warm,15
EVT-00000265,CON-0000072,content_download,warm,16
EVT-00000266,CON-0000072,email_open,warm,3
EVT-00000267,CON-0000072,meeting,warm,18
EVT-00000268,CON-0000073,email_open,neutral,65
EVT-00000269,CON-0000073,email_open,hot,4
EVT-00000270,CON-0000074,email_open,hot,2
EVT-00000271,CON-0000074,email_open,warm,1
EVT-00000272,CON-0000075,meeting,hot,18
EVT-00000273,CON-0000075,email_reply,warm,16
EVT-00000274,CON-0000075,meeting,warm,41
EVT-00000275,CON-0000075,email_open,neutral,15
EVT-00000276,CON-0000075,email_open,hot,51
EVT-00000277,CON-0000075,content_download,warm,32
EVT-00000278,CON-0000076,email_open,hot,10
EVT-00000279,CON-0000076,content_download,hot,16
EVT-00000280,CON-0000076,email_open,hot,3
EVT-00000281,CON-0000076,email_reply,warm,9
EVT-00000282,CON-0000077,email_open,cold,19
EVT-00000283,CON-0000078,email_open,cold,11
EVT-00000284,CON-0000078,email_reply,warm,5
EVT-00000285,CON-0000078,meeting,hot,8
EVT-00000286,CON-0000078,content_download,hot,8
EVT-00000287,CON-0000078,content_download,hot,11
EVT-00000288,CON-0000078,content_download,hot,23
EVT-00000289,CON-0000078,email_open,hot,3
EVT-00000290,CON-0000078,email_open,neutral,1
EVT-00000291,CON-0000079,email_reply,warm,1
EVT-00000292,CON-0000079,email_reply,hot,5
EVT-00000293,CON-0000080,email_reply,warm,4
EVT-00000294,CON-0000080,content_download,warm,19
EVT-00000295,CON-0000080,content_download,warm,28
EVT-00000296,CON-0000080,meeting,hot,18
EVT-00000297,CON-0000080,content_download,hot,23
EVT-00000298,CON-0000080,meeting,hot,21
EVT-00000299,CON-0000081,meeting,hot,64
EVT-00000300,CON-0000081,email_reply,warm,63
EVT-00000301,CON-0000081,meeting,warm,16
EVT-00000302,CON-0000081,email_reply,hot,19
EVT-00000303,CON-0000081,email_open,neutral,2
EVT-00000304,CON-0000082,content_download,hot,39
EVT-00000305,CON-0000082,email_reply,neutral,14
EVT-00000306,CON-0000082,email_reply,warm,11
EVT-00000307,CON-0000082,email_open,neutral,35
EVT-00000308,CON-0000083,email_open,neutral,39
EVT-00000309,CON-0000083,content_download,warm,0
EVT-00000310,CON-0000083,email_reply,cold,4
EVT-00000311,CON-0000083,email_reply,cold,19
EVT-00000312,CON-0000083,email_reply,cold,22
EVT-00000313,CON-0000083,content_download,warm,25
EVT-00000314,CON-0000084,email_open,cold,42
EVT-00000315,CON-0000084,email_open,cold,6
EVT-00000316,CON-0000084,email_open,warm,23
EVT-00000317,CON-0000084,content_download,neutral,0
EVT-00000318,CON-0000085,email_reply,neutral,20
EVT-00000319,CON-0000085,email_reply,cold,22
EVT-00000320,CON-0000085,email_open,cold,3
EVT-00000321,CON-0000085,email_reply,neutral,11
EVT-00000322,CON-0000085,email_open,cold,5
EVT-00000323,CON-0000085,meeting,neutral,11
EVT-00000324,CON-0000085,email_open,hot,0
EVT-00000325,CON-0000086,meeting,warm,6
EVT-00000326,CON-0000087,content_download,warm,9
EVT-00000327,CON-0000087,email_reply,neutral,9
EVT-00000328,CON-0000087,content_download,warm,11
EVT-00000329,CON-0000087,email_reply,warm,17
EVT-00000330,CON-0000088,email_open,warm,1
EVT-00000331,CON-0000088,email_reply,hot,19
EVT-00000332,CON-0000088,meeting,cold,22
EVT-00000333,CON-0000088,meeting,warm,33
EVT-00000334,CON-0000088,meeting,warm,5
EVT-00000335,CON-0000088,email_open,warm,0
EVT-00000336,CON-0000089,email_reply,cold,11
EVT-00000337,CON-0000089,email_open,cold,47
EVT-00000338,CON-0000089,meeting,cold,9
EVT-00000339,CON-0000089,meeting,warm,2
EVT-00000340,CON-0000089,email_reply,warm,29
EVT-00000341,CON-0000089,email_reply,cold,8
EVT-00000342,CON-0000090,email_reply,warm,12
EVT-00000343,CON-0000090,email_open,hot,9
EVT-00000344,CON-0000090,meeting,neutral,8
EVT-00000345,CON-0000091,email_open,hot,45
EVT-00000346,CON-0000091,meeting,neutral,2
EVT-00000347,CON-0000091,email_reply,neutral,46
EVT-00000348,CON-0000091,meeting,neutral,0
EVT-00000349,CON-0000092,content_download,warm,21
EVT-00000350,CON-0000092,email_open,warm,39
EVT-00000351,CON-0000092,email_reply,warm,24
EVT-00000352,CON-0000092,email_reply,neutral,42
EVT-00000353,CON-0000092,email_open,hot,5
EVT-00000354,CON-0000093,meeting,hot,56
EVT-00000355,CON-0000093,email_open,hot,17
EVT-00000356,CON-0000093,content_download,warm,2
EVT-00000357,CON-0000093,email_open,neutral,16
EVT-00000358,CON-0000093,content_download,warm,22
EVT-00000359,CON-0000093,email_reply,warm,3
EVT-00000360,CON-0000093,meeting,hot,4
EVT-00000361,CON-0000094,email_open,neutral,21
EVT-00000362,CON-0000094,email_open,hot,4
EVT-00000363,CON-0000094,content_download,warm,0
EVT-00000364,CON-0000094,email_reply,hot,6
EVT-00000365,CON-0000094,email_open,warm,27
EVT-00000366,CON-0000094,email_reply,warm,12
EVT-00000367,CON-0000095,email_open,neutral,6
EVT-00000368,CON-0000095,content_download,warm,122
EVT-00000369,CON-0000096,content_download,hot,29
EVT-00000370,CON-0000096,email_reply,hot,1
EVT-00000371,CON-0000096,meeting,hot,32
EVT-00000372,CON-0000096,content_download,neutral,3
EVT-00000373,CON-0000096,content_download,neutral,3
EVT-00000374,CON-0000096,email_open,neutral,35
EVT-00000375,CON-0000097,content_download,warm,41
EVT-00000376,CON-0000097,email_open,warm,2
EVT-00000377,CON-0000097,meeting,warm,3
EVT-00000378,CON-0000097,meeting,warm,32
EVT-00000379,CON-0000097,email_open,neutral,13
EVT-00000380,CON-0000097,email_reply,warm,3
EVT-00000381,CON-0000098,email_reply,hot,1
EVT-00000382,CON-0000098,content_download,hot,1
EVT-00000383,CON-0000099,content_download,neutral,35
EVT-00000384,CON-0000099,content_download,neutral,10
EVT-00000385,CON-0000099,email_open,neutral,18
EVT-00000386,CON-0000099,meeting,warm,18
EVT-00000387,CON-0000100,content_download,hot,10
EVT-00000388,CON-0000100,content_download,neutral,3
EVT-00000389,CON-0000100,content_download,hot,26
EVT-00000390,CON-0000100,email_reply,hot,1
EVT-00000391,CON-0000100,content_download,hot,24
EVT-00000392,CON-0000100,meeting,neutral,11
EVT-00000393,CON-0000101,email_reply,warm,10
EVT-00000394,CON-0000101,meeting,warm,0
EVT-00000395,CON-0000101,email_open,warm,16
EVT-00000396,CON-0000102,meeting,neutral,11
EVT-00000397,CON-0000102,content_download,hot,10
EVT-00000398,CON-0000102,content_download,warm,15
EVT-00000399,CON-0000102,email_open,warm,1
EVT-00000400,CON-0000103,meeting,hot,4
EVT-00000401,CON-0000103,email_open,hot,1
EVT-00000402,CON-0000103,email_open,warm,0
EVT-00000403,CON-0000103,meeting,hot,0
EVT-00000404,CON-0000104,content_download,hot,3
EVT-00000405,CON-0000104,meeting,cold,7
EVT-00000406,CON-0000105,content_download,cold,1
EVT-00000407,CON-0000105,email_open,warm,2
EVT-00000408,CON-0000105,content_download,neutral,20
EVT-00000409,CON-0000106,content_download,warm,1
EVT-00000410,CON-0000106,meeting,hot,15
EVT-00000411,CON-0000106,meeting,neutral,33
EVT-00000412,CON-0000107,meeting,hot,20
EVT-00000413,CON-0000107,email_open,hot,25
EVT-00000414,CON-0000107,content_download,hot,1
EVT-00000415,CON-0000108,meeting,neutral,21
EVT-00000416,CON-0000108,email_reply,hot,17
EVT-00000417,CON-0000109,meeting,hot,29
EVT-00000418,CON-0000109,email_reply,warm,9
EVT-00000419,CON-0000109,content_download,warm,8
EVT-00000420,CON-0000110,content_download,hot,9
EVT-00000421,CON-0000110,content_download,neutral,2
EVT-00000422,CON-0000110,meeting,warm,2
EVT-00000423,CON-0000111,email_reply,neutral,57
EVT-00000424,CON-0000111,meeting,neutral,4
EVT-00000425,CON-0000111,email_reply,cold,17
EVT-00000426,CON-0000111,content_download,neutral,15
EVT-00000427,CON-0000112,content_download,warm,47
EVT-00000428,CON-0000112,meeting,hot,40
EVT-00000429,CON-0000112,meeting,warm,29
EVT-00000430,CON-0000112,content_download,warm,0
EVT-00000431,CON-0000112,email_reply,neutral,3
EVT-00000432,CON-0000113,meeting,cold,3
EVT-00000433,CON-0000113,content_download,hot,16
EVT-00000434,CON-0000113,content_download,neutral,1
EVT-00000435,CON-0000114,email_reply,hot,38
EVT-00000436,CON-0000114,content_download,neutral,26
EVT-00000437,CON-0000114,content_download,neutral,18
EVT-00000438,CON-0000114,email_reply,hot,43
EVT-00000439,CON-0000114,content_download,neutral,18
EVT-00000440,CON-0000114,email_reply,hot,22
EVT-00000441,CON-0000115,email_open,hot,71
EVT-00000442,CON-0000115,email_reply,warm,7
EVT-00000443,CON-0000116,content_download,hot,5
EVT-00000444,CON-0000116,email_reply,warm,29
EVT-00000445,CON-0000116,meeting,hot,5
EVT-00000446,CON-0000116,email_open,hot,23
EVT-00000447,CON-0000116,content_download,neutral,10
EVT-00000448,CON-0000117,email_open,hot,29
EVT-00000449,CON-0000117,email_open,hot,4
EVT-00000450,CON-0000118,meeting,warm,17
EVT-00000451,CON-0000118,email_reply,hot,24
EVT-00000452,CON-0000118,email_open,neutral,37
EVT-00000453,CON-0000118,content_download,warm,6
EVT-00000454,CON-0000118,content_download,hot,7
EVT-00000455,CON-0000118,email_reply,hot,32
EVT-00000456,CON-0000119,content_download,warm,9
EVT-00000457,CON-0000119,meeting,warm,6
EVT-00000458,CON-0000119,email_reply,hot,57
EVT-00000459,CON-0000119,meeting,warm,3
EVT-00000460,CON-0000119,meeting,warm,11
EVT-00000461,CON-0000120,email_open,warm,24
EVT-00000462,CON-0000120,meeting,hot,4
EVT-00000463,CON-0000120,email_reply,hot,3
EVT-00000464,CON-0000121,meeting,warm,18
EVT-00000465,CON-0000121,email_reply,warm,5
EVT-00000466,CON-0000121,email_reply,warm,42
EVT-00000467,CON-0000121,content_download,warm,8
EVT-00000468,CON-0000122,email_reply,hot,50
EVT-00000469,CON-0000122,email_reply,warm,12
EVT-00000470,CON-0000122,email_reply,warm,2
EVT-00000471,CON-0000122,meeting,hot,4
EVT-00000472,CON-0000123,meeting,neutral,48
EVT-00000473,CON-0000123,meeting,cold,5
EVT-00000474,CON-0000123,meeting,cold,9
EVT-00000475,CON-0000123,meeting,neutral,25
EVT-00000476,CON-0000123,email_reply,hot,97
EVT-00000477,CON-0000123,email_reply,cold,67
EVT-00000478,CON-0000124,email_reply,cold,7
EVT-00000479,CON-0000125,email_open,hot,1
EVT-00000480,CON-0000125,email_open,warm,16
EVT-00000481,CON-0000125,email_open,warm,4
EVT-00000482,CON-0000126,email_open,cold,9
EVT-00000483,CON-0000126,meeting,hot,8
EVT-00000484,CON-0000127,email_reply,neutral,2
EVT-00000485,CON-0000127,email_open,hot,3
EVT-00000486,CON-0000128,meeting,warm,15
EVT-00000487,CON-0000129,email_open,neutral,1
EVT-00000488,CON-0000129,email_reply,hot,25
EVT-00000489,CON-0000129,email_open,warm,42
EVT-00000490,CON-0000130,email_open,warm,2
EVT-00000491,CON-0000130,content_download,warm,10
EVT-00000492,CON-0000131,email_open,neutral,35
EVT-00000493,CON-0000131,email_reply,warm,42
EVT-00000494,CON-0000131,content_download,hot,15
EVT-00000495,CON-0000132,email_open,hot,25
EVT-00000496,CON-0000132,email_open,hot,3
EVT-00000497,CON-0000132,content_download,warm,31
EVT-00000498,CON-0000132,email_open,neutral,5
EVT-00000499,CON-0000132,email_reply,warm,4
EVT-00000500,CON-0000133,meeting,warm,8
EVT-00000501,CON-0000133,email_open,warm,12
EVT-00000502,CON-0000133,meeting,neutral,9
EVT-00000503,CON-0000133,content_download,hot,48
EVT-00000504,CON-0000133,email_open,warm,31
EVT-00000505,CON-0000133,email_open,hot,88
EVT-00000506,CON-0000133,content_download,hot,50
EVT-00000507,CON-0000134,email_open,cold,2
EVT-00000508,CON-0000134,email_reply,warm,5
EVT-00000509,CON-0000134,meeting,cold,26
EVT-00000510,CON-0000134,email_open,neutral,64
EVT-00000511,CON-0000134,email_open,cold,3
EVT-00000512,CON-0000134,meeting,hot,2
EVT-00000513,CON-0000135,meeting,warm,9
EVT-00000514,CON-0000135,email_reply,warm,0
EVT-00000515,CON-0000135,content_download,warm,40
EVT-00000516,CON-0000136,email_open,warm,46
EVT-00000517,CON-0000136,content_download,neutral,15
EVT-00000518,CON-0000136,email_open,warm,123
EVT-00000519,CON-0000136,email_reply,hot,15
EVT-00000520,CON-0000136,meeting,hot,1
EVT-00000521,CON-0000136,email_reply,hot,19
EVT-00000522,CON-0000136,content_download,cold,17
EVT-00000523,CON-0000136,email_open,warm,6
EVT-00000524,CON-0000136,email_reply,warm,44
EVT-00000525,CON-0000136,email_reply,cold,0
EVT-00000526,CON-0000136,meeting,warm,44
EVT-00000527,CON-0000136,meeting,hot,35
EVT-00000528,CON-0000137,content_download,warm,47
EVT-00000529,CON-0000137,email_open,warm,3
EVT-00000530,CON-0000137,meeting,hot,1
EVT-00000531,CON-0000137,email_open,neutral,14
EVT-00000532,CON-0000137,content_download,hot,20
EVT-00000533,CON-0000137,email_reply,neutral,1
EVT-00000534,CON-0000137,meeting,hot,64
EVT-00000535,CON-0000137,email_reply,hot,65
EVT-00000536,CON-0000138,email_reply,hot,46
EVT-00000537,CON-0000139,meeting,warm,4
EVT-00000538,CON-0000139,email_reply,warm,9
EVT-00000539,CON-0000140,email_open,warm,62
EVT-00000540,CON-0000140,email_reply,cold,0
EVT-00000541,CON-0000140,content_download,cold,5
EVT-00000542,CON-0000140,email_open,warm,5
EVT-00000543,CON-0000140,email_reply,neutral,3
EVT-00000544,CON-0000140,meeting,neutral,1
EVT-00000545,CON-0000141,email_reply,neutral,7
EVT-00000546,CON-0000141,email_open,warm,19
EVT-00000547,CON-0000141,meeting,neutral,4
EVT-00000548,CON-0000141,email_reply,hot,29
EVT-00000549,CON-0000141,email_open,neutral,12
EVT-00000550,CON-0000141,email_reply,hot,1
EVT-00000551,CON-0000142,meeting,warm,32
EVT-00000552,CON-0000142,email_open,hot,67
EVT-00000553,CON-0000143,content_download,hot,21
EVT-00000554,CON-0000143,meeting,warm,34
EVT-00000555,CON-0000143,email_reply,cold,34
EVT-00000556,CON-0000143,email_open,warm,7
EVT-00000557,CON-0000143,meeting,warm,37
EVT-00000558,CON-0000144,email_reply,cold,1
EVT-00000559,CON-0000144,email_open,hot,8
EVT-00000560,CON-0000145,content_download,hot,4
EVT-00000561,CON-0000145,email_open,hot,4
EVT-00000562,CON-0000145,email_reply,neutral,21
EVT-00000563,CON-0000145,content_download,warm,13
EVT-00000564,CON-0000145,content_download,hot,16
EVT-00000565,CON-0000146,content_download,hot,13
EVT-00000566,CON-0000146,email_open,hot,4
EVT-00000567,CON-0000146,meeting,cold,10
EVT-00000568,CON-0000146,content_download,warm,20
EVT-00000569,CON-0000147,meeting,neutral,1
